Date,AAPL,GOOGL,MSFT
2023-07-19,192.7601318359375,121.11488342285156,348.417236328125
2023-07-20,190.81378173828125,118.30610656738281,340.361328125
2023-07-21,189.63804626464844,119.11996459960938,337.3194885253906
2023-07-24,190.4383087158203,120.61865234375,338.6343078613281
2023-07-25,191.29786682128906,121.29354095458984,344.3942565917969
2023-07-26,192.1673126220703,128.3006134033203,331.4320373535156
2023-07-27,190.9026641845703,128.4296112060547,324.51434326171875
2023-07-28,193.48133850097656,131.5857696533203,332.0207824707031
2023-07-31,194.09393310546875,131.7247314453125,329.6167907714844
2023-08-01,193.26400756835938,130.56350708007812,330.0289001464844
2023-08-02,190.27035522460938,127.41728210449219,321.354736328125
2023-08-03,188.8772430419922,127.48674011230469,320.530517578125
2023-08-04,179.8073272705078,127.14929962158203,321.6294860839844
2023-08-07,176.7050323486328,130.54364013671875,323.915771484375
2023-08-08,177.64361572265625,130.4146270751953,319.9319152832031
2023-08-09,176.0529327392578,128.68768310546875,316.1836853027344
2023-08-10,175.8355712890625,128.71743774414062,316.8704833984375
2023-08-11,175.8949432373047,128.5884246826172,314.9865417480469
2023-08-14,177.54713439941406,130.3451385498047,317.9596862792969
2023-08-15,175.55857849121094,128.8067626953125,315.820556640625
2023-08-16,174.6879425048828,127.73487854003906,315.0535888671875
2023-08-17,172.1453399658203,128.9457244873047,311.5923156738281
2023-08-18,172.630126953125,126.5041732788086,311.19903564453125
2023-08-21,173.96571350097656,127.40734100341797,316.50897216796875
2023-08-22,175.3408966064453,128.11204528808594,317.0792236328125
2023-08-23,179.189453125,131.37733459472656,321.54345703125
2023-08-24,174.49996948242188,128.8067626953125,314.6307678222656
2023-08-25,176.70620727539062,128.90603637695312,317.5905456542969
2023-08-28,178.2693634033203,130.02755737304688,318.2986145019531
2023-08-29,182.15744018554688,133.56085205078125,322.9299621582031
2023-08-30,185.64981079101562,134.8610382080078,323.3036193847656
2023-08-31,185.86749267578125,135.1488494873047,322.29083251953125
2023-09-01,187.44056701660156,134.64268493652344,323.1758117675781
2023-09-05,187.67799377441406,134.75184631347656,327.984130859375
2023-09-06,180.96038818359375,133.4517059326172,327.3253479003906
2023-09-07,175.66738891601562,134.2456817626953,324.4049072265625
2023-09-08,176.28079223632812,135.35728454589844,328.6921691894531
2023-09-11,177.4481964111328,135.8932342529297,332.30096435546875
2023-09-12,174.42080688476562,134.3250732421875,326.2338562011719
2023-09-13,172.3531036376953,135.684814453125,330.4523010253906
2023-09-14,173.86680603027344,137.06439208984375,333.0482482910156
2023-09-15,173.14454650878906,136.36962890625,324.7097473144531
